lap,time,accumulated_time,ave_heart_rate,max_heart_rate,ave_pitch,ave_grond,right_GCT,left_GCT,ave_stride,ave_vertical_motion,ave_Vertical_movement_ratio,calorie,high_pace,high_pitch,ave_move_pace,height,weight,VO2Max
1.0,274.7,274.0,138.0,155.0,171.0,209.0,57.7,42.3,1.23,8.8,7.1,47.0,247.0,174.0,273.0,177.0,60.0,62.0
2.0,282.7,557.0,146.0,154.0,172.0,215.0,58.7,41.3,1.22,8.4,6.6,52.0,273.0,177.0,283.0,177.0,60.0,62.0
3.0,293.5,851.0,154.0,159.0,173.0,214.0,58.2,41.8,1.17,8.1,6.7,58.0,271.0,179.0,293.0,177.0,60.0,62.0
1.0,263.0,263.0,160.0,178.0,170.0,220.0,57.2,42.8,1.37,8.5,5.7,53.0,228.0,175.0,262.0,177.0,60.0,62.0
2.0,249.7,512.0,170.0,185.0,172.0,223.0,55.8,44.2,1.4,8.3,5.6,54.0,228.0,190.0,250.0,177.0,60.0,62.0
3.0,249.7,763.0,173.0,181.0,170.0,218.0,57.6,42.4,1.41,8.4,5.7,55.0,237.0,173.0,249.0,177.0,60.0,62.0
1.0,297.3,297.0,158.0,180.0,170.0,190.0,48.5,51.5,1.25,9.5,7.2,59.0,238.0,190.0,281.0,177.0,60.0,62.0
2.0,262.8,560.0,187.0,194.0,169.0,189.0,49.5,50.5,1.35,9.7,6.8,64.0,239.0,182.0,263.0,177.0,60.0,62.0
3.0,257.1,817.0,190.0,195.0,172.0,189.0,48.1,51.9,1.37,9.0,6.3,64.0,233.0,179.0,257.0,177.0,60.0,62.0
1.0,265.1,265.0,162.0,183.0,171.0,207.0,56.5,43.5,1.3,8.4,6.6,56.0,244.0,174.0,263.0,177.0,60.0,62.0
2.0,268.0,533.0,185.0,190.0,172.0,209.0,55.4,44.6,1.3,8.1,5.9,66.0,237.0,174.0,268.0,177.0,60.0,62.0
3.0,271.4,805.0,192.0,196.0,171.0,207.0,54.7,45.3,1.31,8.1,5.9,71.0,257.0,173.0,271.0,177.0,60.0,62.0
1.0,265.9,265.0,157.0,178.0,168.0,205.0,58.0,42.0,1.32,9.3,7.2,54.0,248.0,181.0,265.0,177.0,60.0,62.0
2.0,279.6,545.0,180.0,188.0,170.0,210.0,58.2,41.8,1.26,8.9,6.8,66.0,265.0,175.0,280.0,177.0,60.0,62.0
3.0,289.1,835.0,185.0,189.0,172.0,216.0,58.0,42.0,1.22,8.2,6.5,71.0,278.0,179.0,288.0,177.0,60.0,62.0
1.0,271.0,271.0,156.0,172.0,174.0,205.0,57.2,42.8,1.29,7.8,5.8,54.0,249.0,179.0,260.0,177.0,60.0,62.0
2.0,277.7,548.0,176.0,186.0,171.0,206.0,55.4,44.6,1.27,8.1,6.3,64.0,195.0,178.0,278.0,177.0,60.0,62.0
3.0,271.0,820.0,188.0,195.0,169.0,209.0,54.5,45.5,1.31,8.4,6.2,68.0,240.0,172.0,271.0,177.0,60.0,62.0
1.0,253.2,253.0,152.0,171.0,171.0,206.0,58.1,41.9,1.37,8.4,5.9,50.0,242.0,177.0,253.0,177.0,60.0,62.0
2.0,257.0,510.0,171.0,186.0,174.0,198.0,58.4,41.6,1.35,8.0,5.7,58.0,251.0,176.0,257.0,177.0,60.0,62.0
3.0,266.4,777.0,186.0,189.0,172.0,207.0,56.0,44.0,1.31,8.2,6.0,65.0,259.0,174.0,266.0,177.0,60.0,62.0
1.0,284.6,284.0,166.0,185.0,168.0,208.0,55.6,44.4,1.27,8.8,7.3,61.0,252.0,178.0,278.0,177.0,60.0,62.0
2.0,277.6,562.0,186.0,191.0,168.0,216.0,54.5,45.5,1.29,8.8,6.6,68.0,253.0,171.0,278.0,177.0,60.0,62.0
3.0,278.5,841.0,191.0,196.0,169.0,216.0,54.9,45.1,1.28,8.7,6.6,71.0,244.0,172.0,278.0,177.0,60.0,62.0
1.0,282.4,282.0,160.0,181.0,170.0,217.0,49.7,50.3,1.27,8.5,6.3,58.0,212.0,173.0,281.0,177.0,60.0,62.0
2.0,271.6,554.0,180.0,187.0,172.0,212.0,50.5,49.5,1.28,8.3,6.2,64.0,229.0,175.0,272.0,177.0,60.0,62.0
3.0,272.4,826.0,187.0,194.0,174.0,213.0,55.6,44.4,1.27,8.1,6.2,67.0,256.0,177.0,272.0,177.0,60.0,62.0
1.0,348.3,348.0,154.0,164.0,171.0,234.0,50.1,49.9,1.02,7.8,7.3,70.0,262.0,178.0,346.0,177.0,60.0,62.0
2.0,314.2,662.0,171.0,180.0,172.0,218.0,50.5,49.5,1.12,8.0,7.0,69.0,258.0,180.0,314.0,177.0,60.0,62.0
1.0,261.1,261.0,155.0,169.0,173.0,201.0,54.8,45.2,1.33,9.3,6.7,52.0,217.0,197.0,260.0,177.0,60.0,62.0
2.0,260.4,521.0,179.0,188.0,174.0,208.0,58.1,41.9,1.33,8.3,6.0,60.0,254.0,177.0,260.0,177.0,60.0,62.0
3.0,263.9,785.0,186.0,191.0,173.0,208.0,58.5,41.5,1.34,8.3,6.0,64.0,245.0,180.0,263.0,177.0,60.0,62.0
1.0,258.9,258.0,139.0,155.0,171.0,198.0,52.3,47.7,1.33,9.2,6.6,44.0,247.0,198.0,257.0,177.0,60.0,62.0
2.0,275.8,534.0,157.0,164.0,172.0,194.0,52.6,47.4,1.23,8.4,6.6,56.0,251.0,176.0,276.0,177.0,60.0,62.0
3.0,352.8,888.0,168.0,191.0,172.0,199.0,51.2,48.8,1.2,8.3,6.7,76.0,259.0,190.0,352.0,177.0,60.0,62.0
1.0,261.5,261.0,148.0,159.0,172.0,206.0,55.1,44.9,1.33,8.3,7.1,50.0,252.0,175.0,257.0,177.0,60.0,62.0
2.0,274.8,536.0,158.0,172.0,173.0,207.0,54.4,45.6,1.26,8.0,6.2,57.0,230.0,175.0,275.0,177.0,60.0,62.0
3.0,282.5,819.0,160.0,168.0,174.0,212.0,54.6,45.4,1.25,7.7,5.9,59.0,263.0,176.0,283.0,177.0,60.0,62.0
1.0,291.9,291.0,191.0,203.0,163.0,224.0,52.9,47.1,1.22,9.2,7.3,75.0,197.0,177.0,291.0,177.0,60.0,62.0
1.0,327.1,327.0,154.0,178.0,164.0,221.0,51.6,48.4,1.12,9.3,8.2,65.0,295.0,172.0,327.0,177.0,60.0,62.0
1.0,298.0,298.0,150.0,170.0,169.0,206.0,55.5,44.5,1.16,9.3,9.6,57.0,273.0,175.0,292.0,177.0,60.0,62.0
2.0,279.8,577.0,166.0,176.0,171.0,210.0,55.4,44.6,1.26,8.7,6.7,60.0,267.0,173.0,280.0,177.0,60.0,62.0
3.0,292.1,870.0,177.0,184.0,171.0,206.0,55.4,44.6,1.21,8.6,6.9,67.0,284.0,173.0,292.0,177.0,60.0,62.0
1.0,304.3,304.0,138.0,163.0,169.0,203.0,54.8,45.3,1.24,9.8,7.7,52.0,217.0,178.0,299.0,177.0,60.0,62.0
2.0,286.9,591.0,151.0,160.0,169.0,212.0,52.5,47.5,1.24,10.1,7.9,56.0,227.0,177.0,287.0,177.0,60.0,62.0
3.0,291.1,882.0,155.0,165.0,171.0,198.0,51.5,48.5,1.21,9.1,7.5,58.0,231.0,177.0,291.0,177.0,60.0,62.0
1.0,307.9,307.0,141.0,154.0,171.0,192.0,50.2,49.8,1.12,9.2,9.1,53.0,292.0,175.0,301.0,177.0,60.0,62.0
2.0,285.6,593.0,155.0,168.0,172.0,189.0,54.7,45.3,1.23,9.3,7.3,57.0,265.0,175.0,286.0,177.0,60.0,62.0
3.0,296.8,890.0,157.0,165.0,169.0,199.0,53.3,46.7,1.16,9.1,7.8,60.0,267.0,174.0,297.0,177.0,60.0,62.0
1.0,215.2,215.0,161.0,177.0,174.0,219.0,57.6,42.4,1.61,8.3,5.3,43.0,181.0,180.0,213.0,177.0,60.0,62.0
2.0,235.8,451.0,174.0,178.0,175.0,208.0,54.2,45.8,1.45,8.2,5.4,52.0,231.0,177.0,236.0,177.0,60.0,62.0
3.0,237.0,688.0,176.0,183.0,174.0,203.0,53.2,46.8,1.44,8.1,5.4,53.0,226.0,176.0,237.0,177.0,60.0,62.0
1.0,288.7,288.0,151.0,172.0,172.0,211.0,52.9,47.1,1.23,9.2,7.4,55.0,238.0,176.0,287.0,177.0,60.0,62.0
2.0,280.4,569.0,160.0,170.0,172.0,208.0,54.0,46.0,1.25,9.5,7.4,58.0,239.0,176.0,280.0,177.0,60.0,62.0
3.0,281.2,850.0,175.0,182.0,171.0,213.0,54.9,45.1,1.25,9.5,7.4,63.0,252.0,174.0,281.0,177.0,60.0,62.0
1.0,268.1,268.0,150.0,160.0,173.0,222.0,51.8,48.2,1.32,8.8,8.2,52.0,225.0,178.0,267.0,177.0,60.0,62.0
2.0,249.8,518.0,161.0,169.0,175.0,202.0,50.1,49.9,1.37,8.8,6.3,52.0,213.0,178.0,250.0,177.0,60.0,62.0
3.0,260.4,778.0,160.0,169.0,173.0,211.0,49.5,50.5,1.33,8.9,6.4,54.0,240.0,175.0,260.0,177.0,60.0,62.0
1.0,293.4,293.0,144.0,167.0,168.0,219.0,50.7,49.3,1.19,9.5,7.9,53.0,270.0,172.0,290.0,177.0,60.0,62.0
1.0,238.2,238.0,149.0,164.0,171.0,217.0,50.8,49.2,1.46,9.4,6.6,45.0,217.0,175.0,236.0,177.0,60.0,62.0
2.0,231.6,469.0,167.0,176.0,172.0,210.0,50.0,50.0,1.53,9.4,5.8,50.0,219.0,174.0,232.0,177.0,60.0,62.0
3.0,243.2,713.0,181.0,187.0,171.0,209.0,50.2,49.8,1.41,9.4,6.4,57.0,229.0,173.0,243.0,177.0,60.0,62.0
1.0,189.6,189.0,161.0,186.0,178.0,221.0,59.6,40.4,1.78,8.2,4.4,38.0,166.0,193.0,189.0,177.0,60.0,62.0
1.0,196.6,196.0,159.0,177.0,176.0,224.0,61.9,38.1,1.72,8.2,4.6,39.0,164.0,184.0,193.0,177.0,60.0,62.0
1.0,284.3,284.0,147.0,163.0,170.0,216.0,54.2,45.8,1.23,9.7,7.7,53.0,260.0,175.0,284.0,177.0,60.0,62.0
1.0,243.2,243.0,152.0,169.0,172.0,221.0,58.8,41.2,1.41,9.5,6.4,47.0,224.0,176.0,237.0,177.0,60.0,62.0
2.0,236.5,479.0,170.0,182.0,170.0,221.0,58.5,41.5,1.47,9.4,6.2,53.0,229.0,174.0,236.0,177.0,60.0,62.0
3.0,239.3,719.0,180.0,191.0,172.0,218.0,57.2,42.8,1.42,9.2,6.2,56.0,236.0,175.0,239.0,177.0,60.0,62.0
1.0,285.9,285.0,149.0,163.0,170.0,224.0,52.4,47.6,1.2,8.8,7.3,55.0,270.0,174.0,282.0,177.0,60.0,62.0
1.0,235.4,235.0,152.0,170.0,173.0,238.0,57.9,42.1,1.42,8.9,6.3,46.0,218.0,178.0,234.0,177.0,60.0,62.0
2.0,227.9,463.0,168.0,181.0,173.0,238.0,57.9,42.1,1.52,9.0,5.6,50.0,218.0,176.0,228.0,177.0,60.0,62.0
3.0,231.0,694.0,175.0,184.0,173.0,238.0,57.6,42.4,1.49,9.0,5.8,52.0,221.0,177.0,231.0,177.0,60.0,62.0
1.0,195.7,195.0,148.0,167.0,175.0,211.0,56.5,43.5,1.72,8.4,4.9,37.0,187.0,180.0,190.0,177.0,60.0,62.0
