ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重,VO2Max
1,04:18.4,04:18.4,1,4:18,,169,178,29,19,,,,,167,224,48.5% L / 51.5% R,1.38,10.6,7.4,35,,3:20,187,4:18,4:18,177,62,57
2,04:58.1,09:16.5,1,4:58,,174,178,22,31,,,,,160,239,47.9% L / 52.1% R,1.26,11.4,8.8,41,,4:35,162,04:58.1,4:58,177,62,57
3,05:12.1,14:29,1,5:12,,171,173,30,19,,,,,161,243,47.8% L / 52.2% R,1.18,11.3,9.3,43,,5:07,162,5:11,5:11,177,62,57
1,04:15.8,04:15.8,1,4:16,,165,177,19,25,,,,,165,221,49.0% L / 51.0% R,1.41,10.8,7.9,33,,3:04,186,04:15.8,4:16,177,62,57
2,04:49.2,09:05.0,1,4:49,,173,179,28,29,,,,,160,229,49.0% L / 51.0% R,1.29,11.7,8.8,40,,4:35,162,04:49.2,4:49,177,62,57
3,04:48.3,13:53,1,4:48,,173,176,23,17,,,,,159,230,48.8% L / 51.2% R,1.29,11.7,8.8,40,,4:38,163,4:47,4:47,177,62,57
1,04:02.6,04:02.6,1,4:03,,163,183,8,14,,,,,165,228,49.2% L / 50.8% R,1.46,10,7.8,42,,3:09,178,04:02.6,4:03,177,62,57
2,04:31.5,08:34.1,1,4:32,,179,181,18,19,,,,,163,233,48.8% L / 51.2% R,1.35,10.6,7.6,47,,4:25,166,4:30,4:30,177,62,57
3,04:30.4,13:05,1,4:30,,179,182,25,16,,,,,162,235,48.5% L / 51.5% R,1.36,10.6,7.6,47,,4:08,165,04:30.4,4:30,177,62,57
1,04:31.8,04:31.8,1,4:32,,167,182,13,15,,,,,156,224,48.8% L / 51.2% R,1.34,11.2,7.7,45,,3:45,236,4:30,4:30,177,62,57
2,04:42.6,09:14.4,1,4:43,,176,178,11,9,,,,,160,230,48.6% L / 51.4% R,1.32,11.4,8.4,44,,4:25,162,04:42.6,4:43,177,62,57
3,04:26.0,13:40,1,4:25,,180,183,24,23,,,,,162,226,48.5% L / 51.5% R,1.39,11.1,7.7,42,,4:13,164,4:25,4:25,177,62,57
1,04:07.3,04:07.3,1,4:07,,164,177,24,32,,,,,164,226,49.5% L / 50.5% R,1.46,10.3,7.2,36,,3:17,185,4:06,4:06,177,62,57
2,04:29.6,08:36.8,1,4:30,,178,180,37,37,,,,,161,233,49.1% L / 50.9% R,1.38,10.9,7.7,41,,4:07,164,04:29.6,4:30,177,62,57
3,04:21.3,12:58,1,4:21,,178,182,35,22,,,,,167,228,48.8% L / 51.2% R,1.36,9.9,7.1,40,,3:53,174,4:20,4:20,177,62,57
1,04:13.5,04:13.5,1,4:14,,168,177,19,26,,,,,186,191,48.3% L / 51.7% R,1.25,7.9,6.2,42,,3:33,207,4:13,4:13,177,62,57
2,04:09.1,08:22.7,1,4:09,,178,179,27,27,,,,,182,187,48.8% L / 51.2% R,1.32,8.1,5.9,42,,4:05,188,04:09.1,4:09,177,62,57
3,04:09.6,12:32,1,4:10,,181,182,24,18,,,,,181,191,49.2% L / 50.8% R,1.33,7.4,5.5,43,,4:02,190,4:09,4:09,177,62,57
1,04:03.1,04:03.1,1,4:03,,173,186,19,28,,,,,175,185,50.2% L / 49.8% R,1.38,8.9,6.2,43,,3:09,190,4:01,4:01,177,62,57
2,04:08.3,08:11.4,1,4:08,,179,186,24,16,,,,,174,189,50.6% L / 49.4% R,1.38,9,6.2,43,,3:57,177,04:08.3,4:08,177,62,57
3,04:12.2,12:24,1,4:12,,181,183,22,23,,,,,174,193,50.3% L / 49.7% R,1.32,8,5.8,43,,3:56,191,4:12,4:12,177,62,57
1,04:04.7,04:04.7,1,4:05,,165,177,18,27,,,,,168,224,48.8% L / 51.2% R,1.44,10.2,6.8,40,,3:20,185,4:03,4:03,177,62,57
2,04:18.2,08:22.9,1,4:18,,177,178,20,9,,,,,164,231,48.6% L / 51.4% R,1.42,10.8,7.4,44,,3:55,168,4:18,4:18,177,62,57
3,04:08.9,12:32,1,4:09,,180,184,27,30,,,,,165,231,48.6% L / 51.4% R,1.46,10.6,7.1,43,,3:51,168,04:08.9,4:09,177,62,57
1,04:00.0,04:00.0,0.84,4:45,,147,167,15,14,,,,,164,228,48.7% L / 51.3% R,1.29,10.4,7.8,38,,3:43,174,04:00.0,4:45,177,62,57
2,04:30.4,08:30.4,1,4:30,,170,175,28,27,,,,,163,229,48.7% L / 51.3% R,1.35,10.8,7.8,45,,4:00,167,4:30,4:30,177,62,57
3,04:05.5,12:36,1,4:06,,178,179,21,29,,,,,167,228,48.8% L / 51.2% R,1.46,10.1,6.7,43,,3:51,170,04:05.5,4:05,177,62,57
1,04:26.7,04:26.7,1,4:27,,154,172,18,28,,,,,182,179,49.9% L / 50.1% R,1.39,8.3,6.2,44,,3:20,197,4:25,4:25,177,62,57
2,04:43.9,09:10.6,1,4:44,,171,176,26,25,,,,,170,187,50.1% L / 49.9% R,1.39,8.4,5.9,48,,3:57,185,04:43.9,4:44,177,62,57
3,05:04.8,14:15,1,5:05,,170,173,25,19,,,,,149,185,49.5% L / 50.5% R,1.1,5.6,5.1,51,,4:47,198,05:04.8,5:05,177,62,57
1,03:56.9,03:56.9,1,3:57,,163,179,18,27,,,,,173,208,48.9% L / 51.1% R,1.43,9.4,6.4,44,,3:50,177,3:55,3:55,177,62,57
2,03:59.4,07:56.2,1,3:59,,180,188,27,26,,,,,173,214,48.8% L / 51.2% R,1.46,9.7,6.4,47,,3:41,175,03:59.4,3:59,177,62,57
3,04:28.9,12:25,1,4:29,,177,186,26,19,,,,,166,225,48.3% L / 51.7% R,1.33,10.6,7.8,47,,4:01,169,04:28.9,4:29,177,62,57
