ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重,VO2Max
1,03:52.1,03:52.1,1,3:52,,170,190,36,23,,,,,179,180,50.0% L / 50.0% R,1.41,8.9,6.7,51,,3:39,189,03:52.1,3:52,162,48,57
2,04:00.4,07:52.5,1,4:00,,192,194,27,38,,,,,176,188,49.8% L / 50.2% R,1.41,9.2,6.3,59,,3:56,180,3:59,3:59,162,48,57
3,03:57.4,11:50,1,3:57,,194,198,23,23,,,,,177,192,50.0% L / 50.0% R,1.41,8.9,6.1,60,,3:51,193,03:57.4,3:57,162,48,57
1,03:51.5,03:51.5,1,3:51,,160,186,22,31,,,,,179,174,50.6% L / 49.4% R,1.43,8.3,5.8,32,,3:17,203,3:46,3:46,162,48,57
2,04:00.6,07:52.1,1,4:01,,194,197,22,14,,,,,178,182,50.4% L / 49.6% R,1.41,8.4,5.8,42,,3:58,186,04:00.6,4:01,162,48,57
3,04:02.9,11:55,1,4:03,,196,198,26,27,,,,,183,190,49.8% L / 50.3% R,1.35,7.5,5.3,43,,3:59,189,04:02.9,4:03,162,48,57
1,04:09.2,04:09.2,1,4:09,,169,188,16,26,,,,,171,221,49.3% L / 50.7% R,1.54,9.3,5.6,41,,3:56,187,4:04,4:04,162,48,57
2,04:01.7,08:10.9,1,4:02,,193,197,31,18,,,,,169,225,48.9% L / 51.1% R,1.65,9.6,5.6,45,,3:44,177,04:01.7,4:02,162,48,57
3,03:58.3,12:09,1,3:58,,200,203,6,17,,,,,170,227,48.7% L / 51.3% R,1.67,9.8,5.6,48,,3:48,189,3:58,3:58,162,48,57
1,04:03.8,04:03.8,1,4:04,,174,193,9,16,,,,,175,211,左 49.0%／右 51.0%,1.48,9.5,6.8,59,,3:41,186,3:59,3:59,162,48,57
2,04:03.8,08:07.6,1,4:04,,195,198,16,6,,,,,174,213,左 48.6%／右 51.4%,1.58,9.7,5.8,67,,3:53,177,04:03.8,4:04,162,48,57
3,04:03.6,12:11,1,4:04,,200,202,25,29,,,,,176,216,左 48.4%／右 51.6%,1.59,9.7,5.8,71,,3:48,191,04:03.6,4:04,162,48,57
1,03:51.3,03:51.3,1,3:51,,178,198,17,24,,,,,183,177,左 49.9%／右 50.1%,1.38,8.2,6.3,57,,3:26,197,3:46,3:46,162,48,57
2,04:02.0,07:53.4,1,4:02,,200,204,32,30,,,,,179,186,左 50.2%／右 49.8%,1.38,8.5,5.9,68,,3:57,185,4:02,4:02,162,48,57
3,03:55.5,11:49,1,3:55,,206,210,28,20,,,,,187,184,左 49.9%／右 50.1%,1.37,7.5,5.2,70,,3:41,198,03:55.5,3:55,162,48,57
